model,task,split,n_params,auc_test
gbmtuned,9971,9,2832,0.741071428571429
gbmtuned,9976,1,312,0.652662721893491
gbmtuned,9976,10,312,0.718520710059172
gbmtuned,9976,2,312,0.720710059171598
gbmtuned,9976,3,312,0.638934911242604
gbmtuned,9976,4,240,0.663195266272189
gbmtuned,9976,5,240,0.721005917159763
gbmtuned,9976,6,240,0.688639053254438
gbmtuned,9976,7,240,0.645325443786982
gbmtuned,9976,8,312,0.680414201183432
gbmtuned,9976,9,312,0.658165680473373
gbmtuned,9978,1,1468,0.939863445378151
gbmtuned,9978,10,1592,0.901635021097046
gbmtuned,9978,2,3832,0.886029411764706
gbmtuned,9978,3,1468,0.84375
gbmtuned,9978,4,1468,0.923581932773109
gbmtuned,9978,5,472,0.949894514767933
gbmtuned,9978,6,472,0.879746835443038
gbmtuned,9978,7,1592,0.910073839662447
gbmtuned,9978,8,1592,0.873945147679325
gbmtuned,9978,9,1592,0.904799578059072
gbmtuned,9980,1,252,0.605
gbmtuned,9980,10,1184,0.828571428571429
gbmtuned,9980,2,252,0.96
gbmtuned,9980,3,252,0.565
gbmtuned,9980,4,388,0.81
gbmtuned,9980,5,388,0.902040816326531
gbmtuned,9980,6,252,0.885714285714286
gbmtuned,9980,7,252,0.702040816326531
gbmtuned,9980,8,252,0.991836734693878
gbmtuned,9980,9,252,0.844897959183673
gbmtuned,9983,1,2512,0.856081733540874
gbmtuned,9983,10,2512,0.841390427304246
gbmtuned,9983,2,3104,0.840220728121757
gbmtuned,9983,3,3104,0.858427375187363
gbmtuned,9983,4,2512,0.846976608439986
gbmtuned,9983,5,2512,0.849934783235328
gbmtuned,9983,6,2512,0.856103352357892
gbmtuned,9983,7,2512,0.864552706675891
gbmtuned,9983,8,2512,0.834603989373677
gbmtuned,9983,9,2512,0.848931514250979
svm,10093,1,84,1
svm,10093,10,86,1
svm,10093,2,95,1
svm,10093,3,89,1
svm,10093,4,91,1
svm,10093,5,87,1
svm,10093,6,87,1
svm,10093,7,89,1
svm,10093,8,88,1
svm,10093,9,86,1
svm,10101,1,333,0.762670565302144
svm,10101,10,352,0.649638802889577
svm,10101,2,344,0.726120857699805
svm,10101,3,336,0.61598440545809
svm,10101,4,352,0.716861598440546
svm,10101,5,359,0.738791423001949
svm,10101,6,339,0.6135477582846
svm,10101,7,348,0.693469785575049
svm,10101,8,340,0.6817738791423
svm,10101,9,351,0.712074303405573
svm,14965,1,9070,0.907661185903308
svm,14965,10,9089,0.913757098317618
svm,14965,2,9050,0.907385272712095
svm,14965,3,9129,0.909623121479253
svm,14965,4,9084,0.900697425095939
svm,14965,5,9092,0.908192566607696
svm,14965,6,9022,0.887982960249421
svm,14965,7,9017,0.886541987566816
svm,14965,8,9105,0.901296922768031
svm,14965,9,9086,0.89732347492717
svm,219,1,19608,0.880518164164637
svm,219,10,19643,0.880543964089852
svm,219,2,19548,0.874494797711822
svm,219,3,19513,0.871057611563941
svm,219,4,19590,0.878183995272603
svm,219,5,19587,0.878916470688623
svm,219,6,19595,0.874977969914679
svm,219,7,19662,0.883169772410279
svm,219,8,19649,0.882437812849937
svm,219,9,19549,0.875255224932924
svm,31,1,575,0.807619047619048
svm,31,10,577,0.778571428571429
svm,31,2,579,0.769523809523809
svm,31,3,572,0.753333333333333
svm,31,4,574,0.759523809523809
svm,31,5,578,0.764285714285714
svm,31,6,576,0.822857142857143
svm,31,7,574,0.822380952380952
svm,31,8,581,0.873809523809524
svm,31,9,573,0.764285714285714
svm,34537,1,1664,0.988614829048503
svm,34537,10,1701,0.991881533101045
svm,34537,2,1692,0.992146501457726
svm,34537,3,1694,0.99254075006626
svm,34537,4,1707,0.991049893983567
svm,34537,5,1670,0.992174662072621
svm,34537,6,1720,0.993556290335431
svm,34537,7,1701,0.991972751175205
svm,34537,8,1703,0.992721088435374
svm,34537,9,1682,0.991971129915381
svm,3485,1,747,0.952313836034766
svm,3485,10,751,0.940738991854563
svm,3485,2,758,0.919309372797745
svm,3485,3,731,0.898637538172422
svm,3485,4,741,0.936809960065774
svm,3485,5,752,0.96041813483674
svm,3485,6,755,0.931876908621095
svm,3485,7,760,0.979233964005538
svm,3485,8,743,0.953724471727069
svm,3485,9,748,0.955377169165388
svm,3492,1,368,1
svm,3492,10,376,1
svm,3492,2,367,1
svm,3492,3,372,1
svm,3492,4,359,1
svm,3492,5,384,1
svm,3492,6,365,1
svm,3492,7,365,1
svm,3492,8,363,1
svm,3492,9,380,1
svm,3493,1,410,0.689285714285714
svm,3493,10,402,0.566544566544567
svm,3493,2,411,0.57625
